JavaScript Library,Description,Related_Commits,Related_Update,Related_Issues,related_apis,Detected_Diagnose,Detected_NoRegrets+,Detected_Tsinfer-Node,Detected_Dont_Break
async,"In queue, priorityQueue, cargo and cargoQueue, the ""event""-style methods, like q.drain and q.saturated are now methods that register a callback, rather than properties you assign a callback to. They are now of the form q.drain(callback). If you do not pass a callback a Promise will be returned for the next occurrence of the event, making them await-able, e.g. await q.drain()",8e3230057cb803e00726f728c3687180296766a7,3.0.0,"#1586, #1641","<async>.{queue,priorityQueue,cargo,cargoQueue}().drain",Yes,Yes,No,Yes
async,"during and doDuring have been removed, and instead whilst, doWhilst, until and doUntil now have asynchronous test functions.",935a80e559a8630430513ca15f85cbbcd5bc818a,3.0.0,"#850, #1557","<async.{during,doDuring,whilst,doWhilst}",Yes,No,No,No
async,memoize no longer memoizes errors,139421571d26b458a44f452c46b48230c4277a7a,3.0.0,"#1465, #1466",<async>.memoize,No,No,No,No
async,"applyEach/applyEachSeries have a simpler interface, to make them more easily type-able. It always returns a function that takes in a single callback argument. If that callback is omitted, a promise is returned, making it awaitable",562bd495d18a1f2a96255d8e6c7d284edae5ec39,3.0.0,"#1228, #1640","<async>.{applyEach,applyEachSeries}",Yes,No,No,No
async,limits of less than 1 now cause an error to be thrown in queues and collection methods.,61b0bc97e461f923b091e8d0c87f92e308d73eda,3.0.0,"#1249, #1552",,Yes,No,No,No
async,"Most Async methods return a Promise when the final callback is omitted, making them awaitable!","31e68c3f7ea7c1afe6425379edc16ae088780674, 105fd5d2bd08dbd5c3f29a695b76a18cb159f0d7, 4dbafbafe1747ed0952bac91f58d36f56e8f0c52, f643878ea90c88de16768e42d20aad25dc2f6de0, 0174f3f85b47a7a940865643608482d65fcd62c4, 3a30a9f046859195205f05d36cce5011c14cba98, 01292f5e5f1170fe8948f88b60e488c2274e021c, 39dd9054bcad5864a01609dd77ac78b2aa7bfc33, 4a33ff9790d57c2f669dfcbeede39857f6157281, 4c5358987647bc25792b6b89a0dfd03dcf6bed59, 7df6325fe514df2d1559b624e20876bac48b39ab, f12ce3988357b0a9d4b255acd51173d7c78f0e13, ed2eb6c961177b853fc039be592930617a0b9190, 94c411ce4af58ebda007d8dcb0956d5be19d78c5, e5f01b89b95d781e63b988595727d143b494a566, ab7ccd148fcbbd0e56acca628a5c78b419852410, 68363dc92e4601418873d974d08c763c9f969432, 6e07f6c5f4f2abe844d47651a03a449f864a5190, 0c7493423b60246f987d106d1f040e83de5196f7",3.0.0,#1572,<async>.*,Yes,No,No,No
async,"Calling a callback more than once is considered an error, and an error will be thrown. This had an explicit breaking change in waterfall",d2fe2b323820f4fbce268ade71435d58088118bb,2.0.0,"#814, #815, #1048, #1050",<async>.waterfall,No,No,No,No
async,"auto task functions now always take the callback as the last argument. If a task has dependencies, the results object will be passed as the first argument.",45e4d8c73c35401ac2c9eb2d600ac3a5c4e82fc9,2.0.0,"#1036, #1042",<async>.auto,Yes,Yes,Yes,No
async,"map used to return an object when iterating over an object. map now always returns an array, like in other libraries.",5f6e76d9659c992a37b9ec488d6aff58652b918a,2.0.0,"#1157, #1177",<async>.map,Yes,No,Yes,No
async,"filter, reject, some, every, detect and their families like {METHOD}Series and {METHOD}Limit now expect an error as the first callback argument, rather than just a simple boolean. Pass null as the first argument, or use fs.access instead of fs.exists.",9e9a0879e815d812c246597a6e0dec77776c1fdf,2.0.0,"#774, #1028, #1041",,Yes,No,No,No
async,"retry's callback is now optional. Previously, omitting the callback would partially apply the function, meaning it could be passed directly as a task to series or auto. The partially applied ""control-flow"" behavior has been separated out into retryable.",831f37f2a27ec262159190fa3165d428010c7813,2.0.0,"#1054, #1058",,Yes,Yes,No,No
async,The q.tasks array has been renamed q._tasks and is now implemented as a doubly linked list (DLL). Any code that used to interact with this array will need to be updated to either use the provided helpers or support DLLs,592f95cf1c90d71dfdb68f4e4c9ca0cdd30a91bc,2.0.0,#1205,,Yes,No,No,No
moment,"relativeTimeThreshold keys are now changed to 's', 'm', 'h', 'd' and 'M'. Also the actual thresholds for changed",bc84a173db84f43a7b9b7e0d2da8df4dcb42dc36,3.0.0,#1642,<moment>().add,Yes,Yes,Yes,Yes
joi,"In the previous versions, with convert set to true, Joi supported the use of equivalent values for true or false, namely ""true"", ""false"", ""yes"", ""no"", ""on"", ""off"", 1, 0, ""1"" and ""0"". This is not the case anymore, it will only support true, false, ""true"" and ""false"" by default, with the possibility to disable string conversion by using strict(). ",2eaeb4f9ebcc374f5ab74fb5c496209c5c5af77c,10.0.0,"#991, #998",,No,No,No,No
joi,Fix boolean strings parsing.,b14693f92fc1c3a761befbd19462c0c843194589,10.0.0,#1065,,No,No,No,No
joi,"Disable html escaping by default, leave it as an option",ba5f3c9866e33231fbc1336017f80ad3e9f202c7,12.0.0,#921,,No,No,No,No
joi,stripUnknown: true defaults to not strip array items,e7cf7263965567eb3cca6afe4a3382ea8c142ef1,14.0.0,#1614,,No,No,No,No
joi,Stricter and safer parsing of numbers,11afe3578d701251ab07b7a15bdc1ee174cafe7e,14.0.0,"#1113, #1504, #1544",,No,No,No,No
joi,Fixed output result of Joi.string().valid(...).insensitive(),67ae9687405337e04b8d6101bf06fe5229dc36fe,14.0.0,#1191,<joi>.string().valid().intensitive(),No,No,No,No
joi,Nested paths on object.or/nand/and/xor/with/without(),066afc6d1320850dd05b3d8ad664d2852822d737,14.0.0,"#1477, #1554",,No,No,No,No
joi,Lazy schemas are now less lazy by default,f225d916449c68ab78b18f2439c02f77d4216455,14.0.0,#1258,,Yes,No,No,No
joi,array.min/max/length will be overridden by last call,674a59e9800553a2395f827c29d4a49b82583d83,14.0.0,#1127,"call <joi>.array().{min,max,length}",No,No,No,No
joi,Correctly apply labels to alternatives schemas,7e0fea837fdc2d5bc938987dc4f12ad9ccde211c,14.0.0,#1364,,No,No,No,No
joi,Error message override is also applied to individual errors,3baeda0d2316a3d050d998ccca4f9d440cb0d869,14.0.0,#1568,,No,No,No,No
joi,"Joi.string().email() options changed. The following options are no longer supported:
checkDNS (remains unsupported)
errorLevel - unsupported with no replacement. The new validation rules treat quoted-strings, comments, obsolete formats, and domain literals as errors.
minDomainAtoms - use minDomainSegments.
tldBlacklist - use tlds.deny instead.
tldWhitelist - use tlds.allow instead.",7e172c14b439906f638f54d77d3317fbd72dd023,15.0.0,#1776,call <joi>.string().email,Yes,Yes,No,No
joi,Remove isJoi from schema (use Joi.isSchema() instead),cd77ba58066a04e6df9f28bd82a0314a9ea8c9bb,16.0.0,#1834,,Yes,Yes,No,Yes
joi,Only execute coerce extensions when convert is true,b166b71c9d12e44e0aef0c19f4e13c1968a47438,16.0.0,#1835,,No,No,No,No
joi,Apply array.single() regardless of convert,b166b71c9d12e44e0aef0c19f4e13c1968a47438,16.0.0,#1836,,No,No,No,No
joi,Change object and array errors to use full path instead of nested error messages,6182a9b13a74286bd5cfcef1481e1c3555569266,16.0.0,#1843,,No,No,No,No
joi,Remove Hoek.reach() options from Joi.ref(),c64b41f85d654c9b3c2878ab73d76bf664bcb25d,16.0.0,"#1839, #1695",,No,No,No,No
joi,Limit array.single() to only allow non-array items,dd84fc3166b060ab4b4e9f1be72ebbf9151bbc20,16.0.0,#1840,,Yes,No,No,No
joi,Forbid chaining when() calls when the first was not on alternatives type,a8c916ed37a8d8ef757b0083bbe9e2b3d81e30fe,16.0.0,#1848,,No,No,No,No
joi,Remove any.error() options,b924baa66e648a6764b57a1e56b74076b2b7c1f9,16.0.0,#1857,,No,No,No,No
joi,Remove this from any.error() function calls,b924baa66e648a6764b57a1e56b74076b2b7c1f9,16.0.0,#1858,,No,No,No,No
joi,Remove any.createOverrideError(),b924baa66e648a6764b57a1e56b74076b2b7c1f9,16.0.0,#1859,<joi>.any().createOverrideError,Yes,No,Yes,No
joi,Renamed options() to preferences(),,16.0.0,#1867,<joi>.any.options,Yes,Yes,Yes,Yes
joi,any.error() only supports an Error or a function that returns a single Error (drop support for a function that returns string or array or errors,,16.0.0,#1869,,Yes,No,No,No
joi,Errors paths only include the edge label,,16.0.0,#1875,,No,No,No,No
joi,"Change object.rename('a', 'b', { override: true }) to not delete existing key b if a does not exist ",,16.0.0,#1886,,No,No,No,No
joi,The reference returned from Joi.ref() was changed from a function to object with ref.resolve() method,,16.0.0,#1888,,Yes,No,No,No
joi,Move the escapeHtml preference under errors.escapeHtml,a5ceb30a87a3d8d488fd0a0dda19e4026ba470a4,16.0.0,#1905,,No,No,No,No
joi,Change the format of references in error messages,ba300a16681dcd51cd54a9b106498c86b0c78273,16.0.0,#1892,,No,No,No,No
joi,Error messages require # prefix for error local context arguments ({{label}} -> {{#label}}),4ebeffd60d47d677151c6486ac36dde3a3544641,16.0.0,#1983,,No,No,No,No
joi,Remove isJoi from Errors.Report,ba300a16681dcd51cd54a9b106498c86b0c78273,16.0.0,#1895,,Yes,No,Yes,No
joi,Move language.wrapArrays to errors.wrapArrays preference,cf1e292272695596a7501e602c2621d4235055d7,16.0.0,"#1901, #1905",call <joi>.validate,Yes,No,Yes,No
joi,Rename language preference to messages,cf1e292272695596a7501e602c2621d4235055d7,16.0.0,#1902,,Yes,No,No,No
mongoose,aggregate() no longer accepts a spread,cc4c95961efe2c0671fb6fff7c39282ef94f9158,5.0.0,#2716,,No,No,No,No
mongoose,"make Document#populate() return a promise if a callback isn't passed, remove execPopulate()",2fe9077b8f16b7c794574f76b444d888536596d5,6.0.0,"#3834, #3836",,Yes,No,No,No
mongoose,deleteX() and remove() promise resolves to the write object result,be6fcdaa295ae3d37aa0111e1d2b130e0476f9f2,5.0.0,#4013,,No,No,No,No
mongoose,toObject() and toJSON() option parameter merges with defaults rather than overwriting,6517301b2be66db99972ceb5e0f6bb4bed54d8ed,5.0.0,#4131,,No,No,No,No
mongoose,BREAKING CHANGE: don¡¯t execute getters in reverse order,9a2e32507ca67b785b429845df6c707b8f4df78f,5.0.0,#4835,<mongoose>.SchemaType.prototype.applyGetter,No,No,No,No
mongoose,"remove saveErrorIfNotFound, always error out if save() did not update a document",c7be9a321550cdf0ee64ec8f1469e6f2b8694d1b,5.0.0,#4973,<mongoose>.Document.prototype.$__save,No,No,No,No
mongoose,"Remove support for $pushAll, remove usePushEach option",82aeba514ec1611502dc221bf3f09b697f747966,5.0.0,#5670,,No,No,No,No
